T	P_model	P_retr
3.15e-07	181038.5759639349	184034.18711705122
3.18e-07	173171.2577931607	182952.32965514832
3.21e-07	194049.34915072552	181825.86284365092
3.24e-07	186263.006411708	180659.43334009527
3.27e-07	187957.06891368987	179457.44064572896
3.3e-07	175734.47579276023	178224.0336303575
3.33e-07	168934.29959126897	176963.10950275106
3.36e-07	167701.30234191354	175678.31499238373
3.39e-07	182352.23500833786	174373.0495037357
3.42e-07	184269.38526812027	173050.4700038955
3.45e-07	173428.53498014648	171713.49740735625
3.48e-07	163116.6959990989	170364.82422824999
3.51e-07	173058.65706559506	169006.92327936046
3.54e-07	169706.33818483015	167642.05720863526
3.57e-07	175461.73967160154	166272.2886771316
3.6e-07	167681.3628788276	164899.49099693864
3.63e-07	159583.27996279823	163525.35906321486
3.66e-07	153936.77645721158	162151.42043067463
3.69e-07	164849.85675559135	160779.04640130812
3.72e-07	165027.93874970102	159409.46300651247
3.75e-07	159123.16280904325	158043.76178287735
3.78e-07	153218.47176912567	156682.9102563738
3.81e-07	153223.04884029244	155327.76206445237
3.84e-07	150843.1188731453	153979.06665941354
3.87e-07	155024.98018982317	152637.47854925226
3.8999999999999997e-07	156949.0826916348	151303.56604392597
3.93e-07	146086.47315915336	149977.81948559545
3.96e-07	156266.25491852025	148660.65895082927
3.99e-07	158346.84237825175	147352.4414210404
4.0199999999999997e-07	142293.54090980004	146053.46742457562
4.05e-07	146599.65247072108	144763.98715993622
4.08e-07	153361.0246276624	143484.2061146398
4.11e-07	144888.11610074452	142214.29019830297
4.14e-07	137584.2477829892	140954.37041170686
4.17e-07	138099.6747914697	139704.5470759903
4.2e-07	137832.06707515346	138464.89364777747
4.23e-07	137110.3588739879	137235.4601470737
4.26e-07	137384.96134465194	136016.27622524212
4.29e-07	136015.73314405876	134807.35390037895
4.32e-07	137380.0597828131	133608.6899870166
4.35e-07	135061.57393754856	132420.26824637377
4.38e-07	137938.04071649048	131242.0612823989
4.41e-07	137455.56645213775	130074.03220768712
4.44e-07	136888.86160854765	128916.13610203381
4.47e-07	127302.54457105143	127768.32128497584
4.5e-07	137513.60151824774	126630.53042219588
4.53e-07	131391.58341724012	125502.70148417079
4.56e-07	124972.45071983269	124384.7685739498
4.59e-07	119418.56079299658	123276.6626394848
4.62e-07	122524.33796343516	122178.31208451626
4.65e-07	123332.05493083959	121089.64329066266
4.68e-07	126888.10997405619	120010.58106207642
4.71e-07	116163.31502836879	118941.04900282556
4.74e-07	109500.379122984	117880.96983603883
4.77e-07	117562.35722174075	116830.26567282002
4.8e-07	110383.4228918667	115788.85823798757
4.83e-07	109706.98501782598	114756.66905883465
4.86e-07	124246.13980542347	113733.6196223255
4.89e-07	116345.5497137746	112719.63150544062
4.92e-07	110397.97504501593	111714.62648275864
4.95e-07	115317.85238208357	110718.52661480363
4.98e-07	126750.93144995807	109731.25432019464
5.009999999999999e-07	106945.55422996945	108752.73243419909
5.04e-07	103022.0215230908	107782.88425591176
5.07e-07	113201.31075681317	106821.63358595004
5.1e-07	116042.58208580803	105868.90475626683
5.13e-07	113923.30312492231	104924.62265343484
5.16e-07	102448.80015710005	103988.71273654114
5.19e-07	106946.68663710411	103061.10105064776
5.22e-07	103174.00777019517	102141.71423661645
5.25e-07	104425.86703613352	101230.47953796384
5.28e-07	98607.0987306263	100327.32480529894
5.31e-07	91211.02305900078	99432.1784988008
5.34e-07	102962.18527642058	98544.96968911315
5.37e-07	97329.27569232667	97665.62805696642
5.4e-07	92877.09940211744	96794.08389178182
5.43e-07	96997.8620710045	95930.26808946405
5.46e-07	91703.66869502523	95074.11214955316
5.49e-07	92707.68089880333	94225.54817187162
5.52e-07	88247.11640259314	93384.50885277858
5.55e-07	91026.74551533411	92550.9274811205
5.58e-07	78467.51510897618	91724.73793394989
5.61e-07	95654.719095861	90905.8746720708
5.64e-07	88026.67249285888	90094.27273545587
5.67e-07	77807.6423360723	89289.86773857278
5.7e-07	83195.53548043862	88492.59586564843
5.73e-07	84099.69939707978	87702.39386589434
5.76e-07	80972.95151953583	86919.19904871067
5.79e-07	87522.48327564233	86142.94927888396
5.82e-07	82551.78313126822	85373.58297178896
5.85e-07	77297.99995398203	84611.03908860328
5.88e-07	83275.49081616767	83855.25713154172
5.91e-07	79271.9062245604	83106.17713911497
5.939999999999999e-07	71050.96849978111	82363.7396814172
5.97e-07	71966.06970706662	81627.88585544442
