phi;Fkm/2;Fkm;F2km;F10km;F50km;F100km
0.12271846303085132;1.6000498298913512;1.2922386689498115;0.7918170295669202;0.45263657461846746;0.3918694808638774;0.38590670170874314
0.12578642460662248;1.5410245541345433;1.2821916691567452;0.7898237769630547;0.45229106681142595;0.39165275601119054;0.3857006601920777
0.12885438618239364;1.4838491737848911;1.272028501341259;0.7877899192564435;0.4519374829051919;0.39143088682154037;0.3854897211298053
0.13192234775816525;1.428502778580247;1.2617562205222632;0.78571603029273;0.45157585528149885;0.3912038881341078;0.3852738981516715
0.1349903093339364;1.374959970808237;1.251381808681671;0.7836026914747047;0.45120621699547364;0.3909717751101675;0.3850532051843935
0.13805827090970757;1.3231915328945372;1.2409121666304568;0.7814504913925923;0.4508286017684079;0.3907345632306521;0.38482765644949585
0.14112623248547917;1.2731650323314099;1.2303541063609542;0.7792600254536908;0.45044304398040547;0.39049226829366945;0.38459726646110687
0.14419419406125034;1.22484536739511;1.2197143438872544;0.7770318955117522;0.4500495786629084;0.3902449064119751;0.38436205002371315
0.1472621556370215;1.1781952573304277;1.2089994925735017;0.7747667094964905;0.4496482414911049;0.3899924940104;0.38412202222987396
0.15033011721279266;1.1331756807956357;1.1982160569479554;0.7724650810436022;0.44923906877622183;0.38973504782323315;0.3838771984578973
0.15339807878856426;1.0897462663840887;1.187370426998811;0.7701276291256691;0.44882209745770574;0.38947258489156333;0.3836275943694759
0.15646604036433542;1.0478656389905867;1.1764688729461112;0.7677549776843098;0.44839736509529365;0.38920512256057643;0.38337322590728634
0.15953400194010658;1.0074917256876008;1.1655175404824614;0.765347755263934;0.4479649098609779;0.3889326784768122;0.3831141092925496
0.16260196351587775;0.9685820246336156;1.1545224464738881;0.7629065946474499;0.4475247705308696;0.3886552705853796;0.3828502610225557
0.16566992509164935;0.9310938403641501;1.143489475110808;0.7604321324942612;0.44707698647695937;0.3883729171271328;0.3825816978681521
0.1687378866674205;0.8949844886260502;1.1324243744979507;0.7579250089808834;0.44662159765878473;0.38808563663580775;0.3823084368711968
0.17180584824319167;0.8602114737143963;1.1213327536709885;0.7553858674444928;0.44615864461500077;0.38779344793512005;0.3820304953419762
0.17487380981896328;0.826732641065819;1.110220080026759;0.7528153540297224;0.4456881684548629;0.38749637013582516;0.3817478908565902
0.17794177139473444;0.794506307656197;1.0990916771531354;0.7502141173389999;0.4452102108496215;0.38719442263274295;0.38146064125430307
0.1810097329705056;0.76349137254889;1.087952723043913;0.7475828080867066;0.4447248140238323;0.386887625101745;0.38116876463486193
0.18407769454627676;0.7336474097445173;1.0768082486835724;0.7449220787574447;0.44423202074658713;0.3865759974967079;0.38087227935578416
0.18714565612204836;0.704934745296317;1.0656631369862666;0.7422325832686638;0.4437318743226663;0.38625956004643164;0.3805712040296132
0.19021361769781953;0.6773145204783254;1.054522122073077;0.7395149766379091;0.4432244185836181;0.38593833325152527;0.3802655575211441
0.1932815792735907;0.6507487426271783;1.043389788871292;0.7367699146549208;0.4427096978787656;0.3856123378812596;0.37995535894461996
0.1963495408493623;0.6252003251232806;1.0322705730193518;0.7339980535588206;0.44218775706614766;0.38528159497038883;0.3796406276608988
0.19941750242513345;0.6006331178329395;1.021168761060995;0.7312000497206022;0.4416586415033948;0.3849461258159409;0.37932138327459347
