T	P_model	P_retr
1.5e-07	190189.3261095509	179568.78355196037
1.53e-07	200000.0	178372.78268625357
1.56e-07	179660.6268801989	177129.0539432968
1.59e-07	177250.00768381188	175880.7170940342
1.62e-07	170677.43081823149	174638.49946187634
1.65e-07	152425.51230537368	173404.59316998316
1.68e-07	166662.07048258887	172179.33167919
1.71e-07	182295.84488691416	170962.7118592055
1.74e-07	175227.7280029842	169754.67991385984
1.77e-07	171840.53276999472	168555.17597553527
1.8e-07	187574.2326029231	167364.1399083767
1.83e-07	145554.3888045977	166181.5119386788
1.86e-07	162641.82327560417	165007.23270995216
1.89e-07	156871.55382565255	163841.24328442678
1.92e-07	182927.09675256727	162683.48514038604
1.9499999999999999e-07	176088.02585994956	161533.9001692457
1.98e-07	175112.4041814768	160392.43067263789
2.0099999999999999e-07	161060.28040915338	159259.01935951537
2.04e-07	161788.71910433803	158133.60934327604
2.07e-07	171325.70893544023	157016.14413890775
2.1e-07	159754.88700257393	155906.5676601532
2.13e-07	162309.5688989662	154804.82421669515
2.16e-07	154457.3710178086	153710.85851136103
2.19e-07	167359.50004240204	152624.6156373478
2.22e-07	160171.69146787195	151546.0410754659
2.25e-07	158136.6094908849	150475.0806914031
2.28e-07	138346.43091930947	149411.68073300726
2.31e-07	150694.562367273	148355.78782758876
2.34e-07	156118.2311750357	147307.34897924142
2.37e-07	143539.96674242045	146266.31156618267
2.4e-07	136704.98556266565	145232.62333811264
2.43e-07	133856.7130766351	144206.23241359135
2.46e-07	147835.55628293302	143187.08727743494
2.49e-07	141125.58337270358	142175.1367781302
2.52e-07	148179.00004260513	141170.33012526695
2.55e-07	123264.30097987872	140172.6168869891
2.58e-07	140132.12571128365	139181.9469874633
2.61e-07	131717.98985720793	138198.27070436568
2.64e-07	126977.28017884897	137221.53866638624
2.67e-07	135786.9680346304	136251.70185075077
2.7e-07	126959.64978183889	135288.71158076057
2.73e-07	145194.12842235618	134332.51952334915
2.76e-07	140468.61442442404	133383.0776866565
2.79e-07	127989.8659925002	132440.33841762017
2.82e-07	130407.67725638916	131504.2543995838
2.85e-07	112079.637478429	130574.77864992198
2.88e-07	118402.74469618808	129651.86451768246
2.91e-07	138029.4470167216	128735.46568124439
2.94e-07	129900.39320677757	127825.53614599365
2.9699999999999997e-07	125308.80208944883	126922.03024201434
3e-07	122025.48111555469	126024.9026217964
3.03e-07	127670.32213279985	125134.10825795971
3.06e-07	125722.38215478175	124249.60244099426
3.09e-07	117238.82772337351	123371.34077701591
3.12e-07	105486.61108564916	122499.27918553838
3.15e-07	106784.49227176036	121633.37389726078
3.18e-07	109703.39909899844	120773.58145187086
3.21e-07	125107.05880731638	119919.85869586362
3.24e-07	139031.88068831686	119072.16278037548
3.27e-07	117380.28487228244	118230.45115903366
3.3e-07	121878.88737680054	117394.68158582074
3.33e-07	107655.43923975203	116564.81211295423
3.36e-07	108041.5371319568	115740.80108878134
3.39e-07	106712.38777537772	114922.60715568835
3.42e-07	113469.7844936197	114110.18924802488
3.45e-07	116484.04729140447	113303.50659004273
3.48e-07	128598.73316744514	112502.51869384946
3.51e-07	125493.71798990159	111707.18535737609
3.54e-07	127907.3345099693	110917.4666623595
3.57e-07	94270.7441209855	110133.3229723388
3.6e-07	96230.87939187557	109354.71493066593
3.63e-07	104206.92704450396	108581.60345853044
3.66e-07	105950.66018094674	107813.94975299807
3.69e-07	109824.83944046448	107051.71528506315
3.72e-07	93081.18462478832	106294.86179771484
3.75e-07	101034.91500119556	105543.35130401693
3.78e-07	112374.60783130141	104797.14608520141
3.81e-07	101206.91412633753	104056.2086887752
3.84e-07	98127.41794095296	103320.50192664034
3.87e-07	108839.45302255862	102589.98887322767
3.8999999999999997e-07	98882.82595817182	101864.63286364342
3.93e-07	107091.1808075973	101144.39749182896
3.96e-07	88001.22484394517	100429.24660873358
3.99e-07	85328.38660164388	99719.14432050019
4.0199999999999997e-07	101391.71271447302	99014.05498666366
4.05e-07	104528.02932710538	98313.94321836214
4.08e-07	101279.68280752545	97618.77387656078
4.11e-07	97428.61613065306	96928.5120702882
4.14e-07	84321.16194123829	96243.1231548851
4.17e-07	96226.96453083275	95562.57273026565
4.2e-07	88786.81570999572	94886.82663919067
4.23e-07	81614.43393857016	94215.85096555352
4.26e-07	95416.86241991525	93549.61203267767
4.29e-07	94138.27334093017	92888.07640162643
4.32e-07	88363.67937883498	92231.21086952476
4.35e-07	86618.12317365603	91578.98246789271
4.38e-07	96689.46465409308	90931.35846099068
4.41e-07	102436.95610945161	90288.30634417648
4.44e-07	89712.64890920548	89649.79384227385
4.47e-07	89860.72124539356	89015.78890795253
4.5e-07	94253.2477680671	88386.25972011991
4.53e-07	102324.5209165364	87761.17468232369
4.56e-07	87287.13622587151	87140.5024211662
4.59e-07	92166.3399910633	86524.21178472973
4.62e-07	90354.08732501633	85912.271841013
4.65e-07	84966.22378301945	85304.65187637859
4.68e-07	83152.45939600197	84701.32139401145
4.71e-07	84106.25200279725	84102.25011238834
4.74e-07	81162.34161187752	83507.40796375777
4.77e-07	82881.24891774486	82916.76509263103
4.8e-07	88883.6813993203	82330.2918542838
4.83e-07	77348.21288340847	81747.95881326802
4.86e-07	82319.10198475284	81169.73674193477
4.89e-07	87230.07726702982	80595.59661896709
4.92e-07	77427.71816306173	80025.50962792356
4.95e-07	82393.29733395859	79459.4471557919
4.98e-07	76610.87944250177	78897.38079155286
5.009999999999999e-07	71469.51124530363	78339.28232475431
