k5;S5;k10;S10;k15;S15
13.153727057407842;1.528102664752207e-06;6.4005312538032975;2.3293730088997297e-05;1.6570118697140526;0.001928431669613873
14.122571546095509;1.2346871675232732e-06;6.934089705353845;1.8319714129137174e-05;1.7820805261375212;0.0015502407185047512
15.162776770730014;9.976106986888966e-07;7.512126436899018;1.4407821796625614e-05;1.916589168541457;0.0012462180137491582
16.279598842786765;8.060555007854549e-07;8.138349228505895;1.1331253086990666e-05;2.06125031225832;0.0010018181814922976
17.478681015318028;6.512809505691126e-07;8.81677494667717;8.911637610226258e-06;2.2168302521600727;0.0008053483880283032
18.7660821980637;5.26224725130257e-07;9.551755310287358;7.008693199334892e-06;2.3841531218534593;0.0006474089189573123
20.148307572856957;4.251805487433678e-07;10.348004804408376;5.512092762264636e-06;2.5641052592569666;0.0005204434681671783
21.632341464023412;3.435378160644349e-07;11.210630921075946;4.335067841188998e-06;2.7576399016847;0.0004183776210924756
23.225682629866256;2.7757121070150084e-07;12.145166920974338;3.4093780322728177e-06;2.965782235307795;0.00033632823618683376
24.936382153563777;2.2427071946920032e-07;13.157607326187167;2.6813546076491415e-06;3.1896348257412854;0.00027036982053143285
26.77308412494028;1.8120428589035796e-07;14.254446371680299;2.108788960423741e-06;3.4303834585231425;0.00021734672227593463
28.745069318673753;1.4640683583419162e-07;15.442719662161412;1.658485473883413e-06;3.689303420423487;0.00017472215462517073
30.862302089644007;1.1829061153930376e-07;16.73004930152157;1.3043369374494897e-06;3.9677662548571946;0.00014045682821841097
33.13548072238188;9.557272256955777e-08;18.124692784338706;1.0258109276447432e-06;4.267247027184429;0.00011291138530392999
35.57609148903272;7.721660785813474e-08;19.63559596305449;8.067593988872046e-07;4.589332138384687;9.076796786206581e-05
38.19646668898689;6.238473775665547e-08;21.272450430579212;6.34482467681624e-07;4.935727728494652;7.296716725646868e-05
41.009846963448744;5.0400397886344665e-08;23.04575568640172;4.989921111664836e-07;5.308268714324405;5.865733889245941e-05
44.0304481998174;4.0716810989425326e-08;24.966886484965055;3.9243309142206595e-07;5.7089285093262685;4.715385694110408e-05
47.27353336394331;3.2892187810271874e-08;27.048165798309633;3.0862753243314107e-07;6.139829477104059;3.790635975067864e-05
50.755489623226886;2.656956857553878e-08;29.30294386099825;2.427167456176024e-07;6.603254173936868;3.0472418866059946e-05
54.49391115025818;2.1460535235105482e-08;31.745683804351604;1.9087953801836676e-07;7.101657439870903;2.449637190159127e-05
58.507688025400924;1.733205124541878e-08;34.39205442928968;1.5011067149543138e-07;7.637679402427911;1.9692306567472916e-05
62.817101687541864;1.3995828382629708e-08;37.25903071286457;1.1804662863219466e-07;8.214159461813184;1.583038175357859e-05
67.44392741531405;1.1299735376239355e-08;40.36500269317751;9.282858377267464e-08;8.83415133170508;1.2725831229611305e-05
72.41154435662641;9.120856315840184e-09;43.72989343111552;7.299463464766326e-08;9.500939215299791;1.0230123865061119e-05
77.74505366247523;7.359882054718983e-09;47.37528680556579;5.7395046486621725e-08;10.218055202298512;8.223857446916164e-06
