k	A
0.09411942607656201	0.00029133171438912986
0.0944465715701108	0.00030108344415242816
0.09477485417401402	0.00031108301797583916
0.09510427784070262	0.00032133454690633624
0.09543484653634564	0.0003318415365841507
0.09576656424089777	0.0003426075035713727
0.09609943494814768	0.0003536362725804496
0.09643346266576565	0.0003649314067798695
0.09676865141535225	0.00037649622119060303
0.09710500523248634	0.00038833463991913775
0.09744252816677408	0.0004004498195650524
0.09778122428189728	0.00041284522642179723
0.09812109765566271	0.00042552461338773556
0.09846215238005078	0.00043849095802887654
0.09880439256126525	0.00045174785387327277
0.09914782231978236	0.0004652986417234805
0.09949244579040047	0.0004791463153949811
0.09983826712229002	0.0004932942459829658
0.1001852904790432	0.0005077457400796268
0.10053352003872448	0.0005225033873027924
0.10088295999392043	0.0005375707591403534
0.1012336145517906	0.0005529506399939243
0.10158548793411798	0.0005686458129345307
0.10193858437735984	0.0005846593941593402
0.10229290813269878	0.000600994153253525
0.10264846346609392	0.0006176525374881129
0.10300525465833218	0.0006346376897083686
0.10336328600507994	0.0006519518063432222
0.10372256181693462	0.0006695974357379756
0.10408308641947671	0.00068757742082152
0.10444486415332181	0.0007058936766608016
0.10480789937417277	0.0007245488103244831
0.10517219645287236	0.00074354510450007
0.10553775977545568	0.000762884417085786
0.10590459374320307	0.0007825690235036412
0.1062727027726931	0.0008026010825207709
0.10664209129585571	0.0008229819305597914
0.10701276376002561	0.000843713991958501
0.10738472462799577	0.0008647987647583262
0.1077579783780712	0.0008862377422287251
0.10813252950412286	0.0009080327580578869
0.10850838251564172	0.0009301852388852748
0.1088855419377931	0.0009526962400724967
0.10926401231147122	0.000975567561047824
0.10964379819335361	0.0009987999384392474
0.11002490415595637	0.0010223944894173949
0.11040733478768883	0.0010463526170762542
0.11079109469290904	0.0010706747120724641
0.11117618849197913	0.0010953618934939628
0.11156262082132093	0.0011204149113770432
0.1119503963334718	0.0011458340487565564
0.11233951969714066	0.0011716200258784564
0.11272999559726415	0.0011977734058824453
0.1131218287350631	0.00122429389203884
0.11351502382809915	0.0012511823107940797
0.11390958561033136	0.0012784384946162356
0.11430551883217352	0.0013060622781652588
0.11470282826055103	0.0013340538248126236
0.11510151867895853	0.0013624128681029555
0.11550159488751732	0.001391138757369772
0.11590306170303327	0.0014202315859239431
0.11630592395905477	0.001449690355753752
0.1167101865059309	0.001479514458177335
0.11711585421086987	0.0015097035463263163
0.11752293195799755	0.001540256263282297
0.11793142464841648	0.0015711719683526547
0.11834133720026448	0.001602449643632553
0.11875267454877433	0.0016340878070509278
0.11916544164633283	0.0016660854071843876
0.11957964346254062	0.0016984412150190783
0.11999528498427192	0.0017311531813576028
0.12041237121573461	0.001764220333336033
0.12083090717853048	0.0017976407242636017
0.12125089791171569	0.0018314124244857373
0.1216723484718614	0.0018655338027695888
0.12209526393311465	0.0019000028179868833
0.12251964938725966	0.0019348170709688774
0.12294550994377866	0.0019699748535500325
0.12337285072991401	0.002005473434882358
0.12380167689072932	0.002041310457368329
0.12423199358917197	0.0020774837880704784
0.12466380600613483	0.002113990376081141
0.12509711934051884	0.0021508278232764064
0.12553193880929558	0.0021879933845519637
0.12596826964757007	0.0022254838989411653
0.1264061171086438	0.002263296600181472
0.12684548646407792	0.0023014285476249284
0.1272863830037569	0.0023398760922375126
0.12772881203595185	0.0023786365328535746
0.12817277888738496	0.0024177063034285765
0.12861828890329302	0.002457081871957637
0.1290653474474924	0.0024967599582381675
0.12951395990244302	0.002536736931480258
0.1299641316693137	0.0025770088635510605
0.13041586816804682	0.002617572414404969
0.13086917483742366	0.00265842337954616
0.13132405713512998	0.0026995578845287957
0.13178052053782172	0.0027409722326916515
0.13223857054119073	0.0027826619785079596
0.13269821266003118	0.0028246232190062906
0.13315945242830596	0.0028668517676129364
0.13362229539921297	0.002909343108014206
0.13408674714525248	0.002952093053814638
0.13455281325829377	0.0029950972701510035
0.13502049934964278	0.0030383508807726133
0.1354898110501095	0.0030818497594799718
0.13596075401007568	0.0031255890992755017
0.1364333338995632	0.003169564139976573
0.1369075564083019	0.0032137703141161948
0.1373834272457985	0.003258202792505158
0.1378609521414049	0.0033028565337334488
0.13834013684438765	0.0033477269412468596
0.1388209871239967	0.00339280878079372
0.1393035087695353	0.0034380970793418154
0.1397877075904292	0.003483586989004159
0.1402735894162971	0.003529273135563382
0.14076116009702058	0.0035751505409775896
0.14125042550281447	0.0036212140299712583
0.14174139152429768	0.003667458208538811
0.14223406407256403	0.0037138779234484696
0.14272844907925344	0.0037604679169931815
0.1432245524966234	0.003807222588488382
0.14372238029762058	0.003854136841948706
0.1442219384759526	0.0039012051350311877
0.14472323304616067	0.003948421976346113
0.14522627004369126	0.003995782000578694
0.14573105552496954	0.004043279685890881
0.14623759556747165	0.0040909093951570575
0.1467458962697984	0.004138665766989016
0.14725596375174826	0.004186543068756265
0.14776780415439136	0.00423453573982244
0.14828142364014324	0.004282638290539098
0.14879682839283914	0.004330844952395629
0.14931402461780835	0.004379150185295365
0.149833018541949	0.004427548349049118
0.1503538164138032	0.00447603370585178
0.15087642450363173	0.004524600652738685
0.1514008491034903	0.004573243537930371
0.15192709652730446	0.004621956571452989
0.15245517311094647	0.0046707342008919794
0.15298508521231088	0.0047195706841892966
0.15351683921139148	0.004768460323146438
0.15405044151035793	0.004817397477173232
0.15458589853363297	0.004866376456972908
0.1551232167279697	0.004915391554689018
0.15566240256252906	0.004964437159657979
0.15620346252895814	0.005013507565706279
0.1567464031414677	0.005062597137111148
0.15729123093691136	0.005111700257575525
0.15783795247486343	0.005160811276603206
0.15838657433769876	0.005209924599265552
0.1589371031306714	0.005259034626750209
0.15948954548199426	0.005308135779865989
0.16004390804291907	0.00535722250191621
