T	P_model	P_retr
3.18e-07	13952.815341497962	14765.240450914687
3.21e-07	15272.788645711307	13962.01103790994
3.24e-07	14985.285619930039	13203.39098708391
3.27e-07	9979.793847314202	12486.902805505362
3.3e-07	11639.266860044543	11810.206594032497
3.33e-07	8562.246100687174	11171.092405696929
3.36e-07	9740.897542041652	10567.473028483702
3.39e-07	9133.36724567869	9997.37716893761
3.42e-07	8324.612854364015	9458.943014334958
3.45e-07	7788.361121130688	8950.412152396222
3.48e-07	6492.224956453656	8470.123828682825
3.51e-07	6831.85094785651	8016.509522923697
3.54e-07	6827.175973239963	7588.087826559254
3.57e-07	7251.06839294837	7183.459604773741
3.6e-07	9463.920314403389	6801.303427216281
3.63e-07	5350.583074056708	6440.371252488403
3.66e-07	6514.332811417217	6099.484352304217
3.69e-07	6216.668119734299	5777.529462012737
3.72e-07	5073.367692808708	5473.4551449105065
3.75e-07	4746.088203764742	5186.2683584713395
3.78e-07	4228.471609716826	4915.031211279032
3.81e-07	3560.4008839083117	4658.857900072037
3.84e-07	3761.416031125909	4416.911816896957
3.87e-07	4073.4899319890815	4188.402816923658
3.8999999999999997e-07	4034.5061010337968	3972.584637999002
3.93e-07	3553.536534810141	3768.7524635122395
3.96e-07	3297.030325894707	3576.2406206127216
3.99e-07	2583.7428808074137	3394.420406262929
4.0199999999999997e-07	3143.9669050119114	3222.6980340270607
4.05e-07	2720.3828047415604	3060.512694889878
4.08e-07	2718.1605753114673	2907.3347257728915
4.11e-07	1859.5022466418552	2762.6638797665296
4.14e-07	1846.1968167764926	2626.0276924293585
4.17e-07	1679.15307076842	2496.9799388189444
4.2e-07	2017.0075777313175	2375.0991762154126
4.23e-07	1867.0205553036988	2259.9873677784753
4.26e-07	1613.1253680882019	2151.2685826431634
4.29e-07	1224.643495887318	2048.5877682089563
4.32e-07	1424.9328524594237	1951.6095906129767
4.35e-07	1349.0246215425796	1860.017339600361
4.38e-07	1286.3511879616253	1773.511894215445
4.41e-07	1387.4490195988126	1691.810745935857
4.44e-07	1472.8362061999717	1614.647076059338
4.47e-07	974.8369992307016	1541.768884330173
4.5e-07	1369.649129584815	1472.9381659595751
4.53e-07	1051.4293444299446	1407.930134352267
4.56e-07	856.212877479002	1346.5324870009376
4.59e-07	1081.586460365495	1288.5447121510626
4.62e-07	874.3631871987507	1233.777433971843
4.65e-07	888.7193931614847	1182.051794094727
4.68e-07	693.7291873515065	1133.1988674997303
4.71e-07	555.2862574570304	1087.0591108419894
4.74e-07	735.4629688290577	1043.4818414168744
4.77e-07	593.9337622630882	1002.3247450620848
4.8e-07	740.5626685439353	963.4534113896491
4.83e-07	508.8725706982703	926.7408948299602
4.86e-07	526.6174744571678	892.0673000543534
4.89e-07	460.5941959870097	859.3193904222729
4.92e-07	451.5878600576853	828.3902181743064
4.95e-07	418.42898273179503	799.1787751633838
4.98e-07	329.0626816341074	771.5896629834901
5.009999999999999e-07	380.59872651594105	745.5327814186151
5.04e-07	359.3762037499499	720.9230341944618
5.07e-07	360.7670921757302	697.6800510719886
5.1e-07	388.94262959180594	675.7279253751676
5.13e-07	253.93705179513523	654.9949660958109
5.16e-07	336.2272975684594	635.4134637658694
5.19e-07	338.2399699168869	616.9194693326065
5.22e-07	257.76532283501336	599.4525853144893
5.25e-07	235.36185181302193	582.9557685557685
5.28e-07	214.66453523411832	567.3751439355706
5.31e-07	252.0934016429462	552.6598284231279
5.34e-07	204.84474218802873	538.7617649045438
5.37e-07	191.38704597273284	525.6355652384019
5.4e-07	183.75197129017587	513.238362027679
5.43e-07	164.44727406270226	501.5296686238754
5.46e-07	156.12436364881955	490.47124690616954
5.49e-07	181.68363651262592	480.0269824037872
5.52e-07	134.4726283834631	470.1627663537631
5.55e-07	128.02155115318064	460.8463843089232
5.58e-07	127.33396417130092	452.04741093230075
5.61e-07	130.0910371374158	443.7371106344085
5.64e-07	125.34478889938485	435.8883437288705
5.67e-07	82.72462455002143	428.47547779993425
5.7e-07	116.25333353055024	421.47430399241443
5.73e-07	79.67580890071929	414.8619579506815
5.76e-07	66.34902144054995	408.61684514850174
5.79e-07	84.06144885711065	402.71857036587636
5.82e-07	70.61029089173789	397.1478710825565
5.85e-07	64.99613294020948	391.8865545707193
5.88e-07	56.983528202118904	386.917438481359
5.91e-07	52.86129573615301	382.2242947303635
5.939999999999999e-07	69.79000421708152	377.79179650101685
5.97e-07	55.86520560067606	373.6054681898513
