	k
909	1.6026506984858755
910	1.6082212801989002
911	1.6138112244471607
912	1.619420598532027
913	1.625049469988795
914	1.6306979065875078
915	1.636365976333763
916	1.64205374746954
917	1.6477612884740134
918	1.6534886680643854
919	1.6592359551967055
920	1.665003219066707
921	1.6707905291106382
922	1.6765979550060939
923	1.6824255666728627
924	1.6882734342737606
925	1.6941416282154822
926	1.700030219149443
927	1.7059392779726352
928	1.711868875828476
929	1.7178190841076697
930	1.7237899744490612
931	1.7297816187405042
932	1.7357940891197239
933	1.7418274579751833
934	1.7478817979469614
935	1.753957181927619
936	1.7600536830630849
937	1.766171374753529
938	1.7723103306542531
939	1.778470624676571
940	1.7846523309887043
941	1.7908555240166695
942	1.7970802784451807
943	1.8033266692185417
944	1.8095947715415541
945	1.8158846608804216
946	1.8221964129636532
947	1.8285301037829844
948	1.8348858095942822
949	1.8412636069184722
950	1.8476635725424517
951	1.8540857835200222
952	1.8605303171728087
953	1.8669972510911994
954	1.8734866631352713
955	1.8799986314357349
956	1.8865332343948709
957	1.8930905506874731
958	1.8996706592618011
959	1.9062736393405229
960	1.9128995704216774
961	1.9195485322796229
962	1.9262206049660058
963	1.9329158688107169
964	1.9396344044228655
965	1.946376292691743
966	1.9531416147878025
967	1.9599304521636347
968	1.9667428865549443
969	1.9735789999815412
970	1.980438874748321
971	1.9873225934462626
972	1.9942302389534152
973	2.001161894435904
974	2.008117643348925
975	2.015097569437754
976	2.0221017567387514
977	2.0291302895803778
978	2.0361832525842054
979	2.0432607306659407
980	2.0503628090364443
981	2.0574895732027554
982	2.064641108969127
983	2.0718175024380514
984	2.079018840011304
985	2.086245208390977
986	2.09349669458053
987	2.1007733858858306
988	2.108075369916213
989	2.1154027345855235
990	2.1227555681131887
991	2.1301339590252724
992	2.137537996155539
993	2.144967768646531
994	2.1524233659506327
995	2.1599048778311567
996	2.1674123943634145
997	2.1749460059358117
998	2.1825058032509266
999	2.1900918773266103
1000	2.1977043194970745
1001	2.2053432214139987
1002	2.213008675047631
1003	2.2207007726878905
1004	2.228419606945488
1005	2.2361652707530304
1006	2.2439378573661495
1007	2.251737460364617
1008	2.2595641736534766
1009	2.2674180914641697
1010	2.2752993083556765
1011	2.283207919215645
1012	2.2911440192615453
1013	2.2991077040418038
1014	2.307099069436963
1015	2.3151182116608324
1016	2.323165227261643
1017	2.3312402131232193
1018	2.339343266466134
1019	2.347474484848889
1020	2.3556339661690817
1021	2.363821808664592
1022	2.372038110914754
1023	2.3802829718415572
1024	2.3885564907108217
1025	2.396858767133406
1026	2.405189901066403
1027	2.4135499928143354
1028	2.4219391430303774
1029	2.4303574527175527
1030	2.438805023229962
1031	2.447281956273994
1032	2.4557883539095577
1033	2.4643243185513044
1034	2.472889952969867
1035	2.48148536029309
1036	2.49011064400728
1037	2.4987659079584454
1038	2.507451256353546
1039	2.516166793761754
1040	2.5249126251157037
1041	2.5336888557127657
1042	2.542495591216304
1043	2.551332937656958
1044	2.5602010014339083
1045	2.569099889316171
1046	2.578029708443868
1047	2.586990566329532
1048	2.595982570859387
1049	2.605005830294659
1050	2.6140604532728737
1051	2.6231465488091614
1052	2.6322642262975786
1053	2.641413595512413
1054	2.6505947666095198
1055	2.6598078501276325
1056	2.6690529569897072
1057	2.6783301985042467
1058	2.6876396863666523
1059	2.6969815326605553
1060	2.7063558498591784
1061	2.715762750826686
1062	2.725202348819536
1063	2.734674757487855
1064	2.7441800908767977
1065	2.7537184634279264
1066	2.763289989980581
1067	2.7728947857732718
1068	2.7825329664450558
1069	2.792204648036941
1070	2.80190994699327
1071	2.811648980163134
1072	2.8214218648017764
1073	2.831228718571995
1074	2.841069659545576
1075	2.850944806204698
1076	2.8608542774433716
1077	2.8707981925688624
1078	2.8807766713031353
1079	2.890789833784285
1080	2.9008378005679956
1081	2.9109206926289786
1082	2.921038631362443
1083	2.9311917385855435
1084	2.941380136538858
1085	2.951603947887855
1086	2.961863295724365
1087	2.9721583035680763
1088	2.9824890953680057
1089	2.9928557955040045
1090	3.0032585287882463
1091	3.0136974204667384
1092	3.0241725962208186
1093	3.0346841821686823
1094	3.045232304866887
1095	3.0558170913118854
1096	3.066438668941554
1097	3.0770971656367188
1098	3.087792709722707
1099	3.0985254299708815
1100	3.1092954556001997
1101	3.120102916278761
1102	3.1309479421253776
1103	3.14183066371113
1104	3.152751212060951
1105	3.163709718655191
1106	3.1747063154312114
1107	3.185741134784969
1108	3.196814309572605
1109	3.2079259731120557
1110	3.219076259184645
1111	3.2302653020367074
1112	3.2414932363811917
1113	3.2527601973992963
1114	3.264066320742083
1115	3.2754117425321234
1116	3.2867965993651262
1117	3.2982210283115916
1118	3.309685166918452
1119	3.321189153210737
1120	3.3327331256932315
1121	3.3443172233521383
1122	3.3559415856567627
1123	3.367606352561178
1124	3.3793116645059245
1125	3.3910576624196866
1126	3.402844487721004
1127	3.4146722823199593
1128	3.4265411886199004
1129	3.438451349519142
1130	3.450402908412699
1131	3.4623960091940047
1132	3.474430796256641
1133	3.486507414496088
1134	3.4986260093114545
1135	3.510786726607242
1136	3.522989712795088
1137	3.535235114795544
1138	3.5475230800398263
1139	3.559853756471611
1140	3.5722272925487957
1141	3.5846438372453022
1142	3.597103540052864
1143	3.609606550982821
1144	3.6221530205679375
1145	3.6347430998642016
1146	3.6473769404526566
1147	3.660054694441212
1148	3.6727765144664906
1149	3.68554255369565
1150	3.6983529658282426
1151	3.71120790509805
1152	3.724107526274955
1153	3.7370519846667953
1154	3.750041436121234
1155	3.7630760370276435
1156	3.776155944318976
1157	3.7892813154736675
1158	3.802452308517519
1159	3.8156690820256127
1160	3.8289317951242086
1161	3.842240607492674
1162	3.855595679365389
1163	3.868997171533696
1164	3.8824452453478147
1165	3.8959400627188012
1166	3.909481786120492
1167	3.9230705785914513
1168	3.936706603736951
1169	3.950390025730924
1170	3.964121009317954
1171	3.977899719815247
1172	3.991726323114633
1173	4.005600985684554
1174	4.019523874572076
1175	4.03349515740489
1176	4.047515002393344
1177	4.06158357833246
1178	4.07570105460396
1179	4.089867601178321
1180	4.104083388616805
1181	4.118348588073528
1182	4.132663371297505
1183	4.1470279106347325
1184	4.161442379030252
1185	4.1759069500302415
1186	4.1904217977840945
1187	4.204987097046526
1188	4.219603023179677
1189	4.234269752155213
1190	4.248987460556459
1191	4.2637563255805135
1192	4.278576525040391
1193	4.2934482373671505
1194	4.308371641612063
1195	4.3233469174487436
1196	4.338374245175338
1197	4.35345380571667
1198	4.3685857806264465
1199	4.383770352089415
1200	4.399007702923577
1201	4.4142980165823875
1202	4.42964147715695
1203	4.445038269378248
1204	4.460488578619359
1205	4.475992590897698
1206	4.491550492877238
1207	4.507162471870782
1208	4.522828715842192
1209	4.538549413408678
1210	4.554324753843044
1211	4.570154927075988
1212	4.586040123698378
1213	4.601980534963543
1214	4.617976352789587
1215	4.634027769761689
1216	4.650134979134431
1217	4.666298174834113
1218	4.682517551461103
1219	4.698793304292164
1220	4.715125629282819
1221	4.731514723069699
1222	4.7479607829729185
1223	4.764464006998451
1224	4.7810245938405
1225	4.797642742883913
1226	4.814318654206562
1227	4.8310525285817665
1228	4.847844567480698
1229	4.8646949730748235
1230	4.881603948238315
1231	4.898571696550518
1232	4.915598422298381
1233	4.932684330478934
1234	4.949829626801736
1235	4.967034517691371
1236	4.984299210289923
1237	5.0016239124594675
1238	5.0190088327845865
1239	5.0364541805748635
1240	5.0539601658674185
1241	5.071526999429423
1242	5.0891548927606545
1243	5.106844058096022
1244	5.124594708408143
1245	5.142407057409885
1246	5.160281319556963
1247	5.178217710050502
1248	5.196216444839634
1249	5.214277740624104
1250	5.232401814856868
1251	5.2505888857467236
1252	5.268839172260922
1253	5.287152894127823
