	A
110	0.0005077457400796268
111	0.0005225033873027924
112	0.0005375707591403534
113	0.0005529506399939243
114	0.0005686458129345307
115	0.0005846593941593402
116	0.000600994153253525
117	0.0006176525374881129
118	0.0006346376897083686
119	0.0006519518063432222
120	0.0006695974357379756
121	0.00068757742082152
122	0.0007058936766608016
123	0.0007245488103244831
124	0.00074354510450007
125	0.000762884417085786
126	0.0007825690235036412
127	0.0008026010825207709
128	0.0008229819305597914
129	0.000843713991958501
130	0.0008647987647583262
131	0.0008862377422287251
132	0.0009080327580578869
133	0.0009301852388852748
134	0.0009526962400724967
135	0.000975567561047824
136	0.0009987999384392474
137	0.0010223944894173949
138	0.0010463526170762542
139	0.0010706747120724641
140	0.0010953618934939628
141	0.0011204149113770432
142	0.0011458340487565564
143	0.0011716200258784564
144	0.0011977734058824453
145	0.00122429389203884
146	0.0012511823107940797
147	0.0012784384946162356
148	0.0013060622781652588
149	0.0013340538248126236
150	0.0013624128681029555
151	0.001391138757369772
152	0.0014202315859239431
153	0.001449690355753752
154	0.001479514458177335
155	0.0015097035463263163
156	0.001540256263282297
157	0.0015711719683526547
158	0.001602449643632553
159	0.0016340878070509278
160	0.0016660854071843876
161	0.0016984412150190783
162	0.0017311531813576028
163	0.001764220333336033
164	0.0017976407242636017
165	0.0018314124244857373
166	0.0018655338027695888
167	0.0019000028179868833
168	0.0019348170709688774
169	0.0019699748535500325
170	0.002005473434882358
171	0.002041310457368329
172	0.0020774837880704784
173	0.002113990376081141
174	0.0021508278232764064
175	0.0021879933845519637
176	0.0022254838989411653
177	0.002263296600181472
178	0.0023014285476249284
179	0.0023398760922375126
180	0.0023786365328535746
181	0.0024177063034285765
182	0.002457081871957637
183	0.0024967599582381675
184	0.002536736931480258
185	0.0025770088635510605
186	0.002617572414404969
187	0.00265842337954616
188	0.0026995578845287957
189	0.0027409722326916515
190	0.0027826619785079596
191	0.0028246232190062906
192	0.0028668517676129364
193	0.002909343108014206
194	0.002952093053814638
195	0.0029950972701510035
196	0.0030383508807726133
197	0.0030818497594799718
198	0.0031255890992755017
199	0.003169564139976573
200	0.0032137703141161948
201	0.003258202792505158
202	0.0033028565337334488
203	0.0033477269412468596
204	0.00339280878079372
205	0.0034380970793418154
206	0.003483586989004159
207	0.003529273135563382
208	0.0035751505409775896
209	0.0036212140299712583
210	0.003667458208538811
211	0.0037138779234484696
212	0.0037604679169931815
213	0.003807222588488382
214	0.003854136841948706
215	0.0039012051350311877
216	0.003948421976346113
217	0.003995782000578694
218	0.004043279685890881
219	0.0040909093951570575
220	0.004138665766989016
221	0.004186543068756265
222	0.00423453573982244
223	0.004282638290539098
224	0.004330844952395629
225	0.004379150185295365
226	0.004427548349049118
227	0.00447603370585178
228	0.004524600652738685
229	0.004573243537930371
230	0.004621956571452989
231	0.0046707342008919794
232	0.0047195706841892966
233	0.004768460323146438
234	0.004817397477173232
235	0.004866376456972908
236	0.004915391554689018
237	0.004964437159657979
238	0.005013507565706279
239	0.005062597137111148
240	0.005111700257575525
