x;xcwm;height
-43.29329323768616;-42.81111181830725;-0.018457103775199067
-43.193193197250366;-42.72527936412525;-0.02349833388670765
-43.093093037605286;-42.626315989663915;-0.016087890566177
-42.992992997169495;-42.531185814207355;-0.014036114839053239
-42.892892837524414;-42.45256219161456;-0.018542826295590304
-42.79279279708862;-42.354656960331134;-0.037554775742011666
-42.69269263744354;-42.25196378025118;-0.05451523328381889
-42.59259259700775;-42.169895721141295;-0.06933637166644328
-42.49249243736267;-42.06064358818229;-0.0993890048630384
-42.39239239692688;-41.956593579417394;-0.10801007327960632
-42.2922922372818;-41.85884091438391;-0.13163691199103247
-42.19219219684601;-41.74724798710448;-0.15571181647590548
-42.09209203720093;-41.61632971366428;-0.1783645112022266
-41.99199199676514;-41.50093778631678;-0.17640850617792164
-41.891891837120056;-41.3802669924075;-0.18155149968231682
-41.791791796684265;-41.26046112162253;-0.18031181941909158
-41.691691637039185;-41.16263259357856;-0.1687329710871275
-41.591591596603394;-41.072925460817046;-0.17647893102350928
-41.49149143695831;-40.977707963715325;-0.20337763547903176
-41.39139139652252;-40.856362816431414;-0.21317095313949036
-41.29129123687744;-40.74449743289391;-0.22663430633510728
-41.19119119644165;-40.63541542925592;-0.22105984064285852
-41.09109103679657;-40.52279179242573;-0.2300440439094188
-40.99099099636078;-40.407143952026495;-0.2350649895297396
-40.8908908367157;-40.30027363018089;-0.23601300294799799
-40.79079079627991;-40.189892139015804;-0.24014858625688393
-40.69069063663483;-40.067681307202506;-0.2482782658061696
-40.590590596199036;-39.943739801811894;-0.2313783668309019
-40.490490436553955;-39.84607239008702;-0.2201393677080415
-40.390390396118164;-39.745848861292764;-0.22347763463702308
-40.29029023647308;-39.64609143663751;-0.22811866423180843
-40.19019019603729;-39.53804263601542;-0.24650079903972416
-40.09009003639221;-39.4270666579431;-0.2645768085064261
-39.98998999595642;-39.30734742545204;-0.2647868093907076
-39.88988983631134;-39.20043629175319;-0.2767630174066816
-39.78978979587555;-39.07900962039036;-0.2728764833410919
-39.68968963623047;-38.97550927457766;-0.2721416672479089
-39.58958959579468;-38.868670815231525;-0.2818668092935102
-39.4894894361496;-38.75490584661236;-0.30351334712071026
-39.389389395713806;-38.635106407463596;-0.3136764900520378
-39.289289236068726;-38.50364503434603;-0.3233595214994842
-39.189189195632935;-38.38661865247335;-0.3347261450729804
-39.089089035987854;-38.246523431584876;-0.330467466001599
-38.98898899555206;-38.11440482276085;-0.31511180848535314
-38.88888883590698;-38.01387451664862;-0.28848993114186006
-38.78878879547119;-37.90705844804483;-0.29408327009924984
-38.68868863582611;-37.790785148792764;-0.2938084841846451
-38.58858859539032;-37.67548390369383;-0.30476465382914386
-38.48848843574524;-37.54504606917855;-0.2964713849968882
-38.38838839530945;-37.42952195105081;-0.2852861086864918
-38.28828823566437;-37.308581258517286;-0.2655695209719232
-38.18818819522858;-37.209967161083405;-0.23824104802800244
-38.088088035583496;-37.11644677456801;-0.23746729816847342
-37.987987995147705;-37.009691161026545;-0.25219982642565775
-37.887887835502625;-36.89398821846914;-0.26058790361648154
-37.78778779506683;-36.77316314716655;-0.26499751765732166
-37.68768763542175;-36.64407930003277;-0.2743203446252238
-37.58758759498596;-36.49819763778703;-0.25683350286192647
-37.48748743534088;-36.37948212981695;-0.21591572572993645
-37.38738739490509;-36.27079648379707;-0.192225436907016
-37.28728723526001;-36.15208828122751;-0.17457880315128008
-37.18718719482422;-36.03850343976358;-0.13742058944589539
-37.08708703517914;-35.93594005939383;-0.12021360337036832
-36.98698699474335;-35.82357734211919;-0.08518099853404112
-36.88688683509827;-35.72432563032224;-0.06683332248446464
-36.786786794662476;-35.621480230205194;-0.046547486061817876
-36.686686635017395;-35.52249696198884;-0.033502728226098406
-36.586586594581604;-35.42029720726053;-0.025417149654432498
-36.48648643493652;-35.30512710801278;-0.013645598690258448
-36.38638639450073;-35.18580416567044;0.0034072694588800907
-36.28628623485565;-35.07805701013233;0.021138475287784574
-36.18618619441986;-34.94326019822752;0.02611168405595921
-36.08608603477478;-34.81471049234608;0.07714076799320338
-35.98598599433899;-34.703416605585424;0.13137372663066937
-35.88588583469391;-34.60791692944888;0.17568899862709456
-35.78578579425812;-34.51927072492841;0.20997908774403057
-35.68568563461304;-34.431407575279145;0.24019132658363937
-35.585585594177246;-34.34212422052177;0.27012674894000904
-35.485485434532166;-34.25248318405287;0.28416988160948725
-35.385385394096375;-34.15722016022075;0.3129758263532394
-35.285285234451294;-34.078005745734664;0.32881017758611664
-35.1851851940155;-33.98525124724185;0.3365525328808619
-35.08508503437042;-33.897088622996556;0.33760002535208383
-34.98498499393463;-33.79109718817363;0.32513643562231775
-34.88488483428955;-33.67501495890402;0.33512616045918664
-34.78478479385376;-33.56389746853689;0.3692500980283703
-34.68468463420868;-33.468371581163225;0.3975925706939874
-34.58458459377289;-33.3814141625531;0.4269167344080497
-34.48448443412781;-33.29240287692334;0.44271927123462856
-34.38438439369202;-33.21692999187692;0.4717258455183619
